strategy,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,pct_days_cash,family,variant_id,params,calmar,trading_costs_total,funding_costs_total,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_cash,pct_cash_sessions,delta_cagr_pp,delta_sharpe,delta_max_dd_pp,beats_guarded_all_three
Guarded sell buffer X=-0.002,0.18617827877999882,0.1367959904273482,3.1677883128019118,-0.21627060651693583,8045.773728987129,699,32.001234377410896,sell_buffer,buf_m0p2%,"{""sell_buffer_x"": -0.002}",0.8608579861055666,,,,,,,,,,,32.001234377410896,0.04747310581825204,-0.008047858877954006,-0.0024823063999285244,False
Guarded Donchian+ATR trail k=2.5,0.18927899098858902,0.13493920268013485,3.1656101452101497,-0.21655526705694694,8605.406297005868,675,33.72936275266162,donchian,breakout_trail2.5,"{""trail_k"": 2.5}",0.8740447349120114,,,,,,,,,,,33.72936275266163,0.35754432667727265,-0.010226026469716043,-0.030948360401039654,False
Guarded vol-scale 0.75x in top Q4,0.1787985198542552,0.13508318521661325,3.165583994289241,-0.2153711639104444,6851.008825317502,730,32.093812683227895,vol_scaled,vol_q4_scale0.75,"{""scale"": 0.75}",0.8301878329849357,,,,,,,,,,,32.093812683227895,-0.6905027867561087,-0.010252177390624784,0.08746195424921555,False
Guarded sell buffer X=-0.003,0.18536161104747406,0.1368811022802735,3.154232866285616,-0.2162223043596887,7904.30078512517,697,31.924085789230055,sell_buffer,buf_m0p3%,"{""sell_buffer_x"": -0.003}",0.8572733122810612,,,,,,,,,,,31.924085789230055,-0.034193667434223585,-0.021603305394249706,0.0023479093247846805,False
Guarded sell buffer X=-0.004,0.18527414419013066,0.13688426966587586,3.153222641620775,-0.21621021788466985,7889.291273479638,697,31.893226353957722,sell_buffer,buf_m0p4%,"{""sell_buffer_x"": -0.004}",0.856916689705012,,,,,,,,,,,31.893226353957722,-0.04294035316856348,-0.022613530059090614,0.0035565568266698877,False
Guarded sell buffer X=-0.005,0.1849682143183815,0.13689399156072202,3.15091188891347,-0.216203733079934,7837.008194264293,697,31.84693720104922,sell_buffer,buf_m0p5%,"{""sell_buffer_x"": -0.005}",0.8555273846728436,,,,,,,,,,,31.846937201049222,-0.07353334034347903,-0.024924282766395578,0.004205037300253345,False
Guarded profit skim 20% -> cash,0.17571029975218755,0.13589778465883742,3.146173733181307,-0.21549185883350508,6403.388244662226,709,32.340688165406576,profit_skim,skim_20_cash,"{""after_lev"": 0.0, ""profit_thresh"": 0.2}",0.8153918236324006,,,,,,,,,,,32.340688165406576,-0.9993247969628749,-0.029662438498558874,0.07539246194314675,False
Guarded vol-scale 0.5x in top Q4,0.17192331799195393,0.13389828020197378,3.1435662067379035,-0.21437138917767715,5892.777169755915,730,32.093812683227895,vol_scaled,vol_q4_scale0.5,"{""scale"": 0.5}",0.801988169463505,,,,,,,,,,,32.093812683227895,-1.378022972986237,-0.032269964941962215,0.18743942752594,False
Guarded sell buffer X=-0.006,0.18498657421729403,0.13700332330204257,3.1379144863525053,-0.21621435731562766,7840.136464544607,693,31.754358895232215,sell_buffer,buf_m0p6%,"{""sell_buffer_x"": -0.006}",0.8555702614477743,,,,,,,,,,,31.75435889523222,-0.0716973504522267,-0.03792168532736051,0.0031426137308887547,False
Guarded sell buffer X=-0.007,0.185840603030758,0.13705850233246816,3.131175423884819,-0.21631712965863636,7986.984857408541,689,31.67721030705138,sell_buffer,buf_m0p7%,"{""sell_buffer_x"": -0.007}",0.8591118203353916,,,,,,,,,,,31.677210307051382,0.01370553089417026,-0.044660747795046696,-0.00713462056998182,False
