strategy,cagr,ann_volatility,sharpe,sortino,max_drawdown,end_value,trades,pct_cash,avg_leverage
B4 + ADX>20,0.1527314191388245,0.20414047241783806,0.7808816814539294,0.7862107059527831,-0.31244218093480547,7098.325353294303,427,28.613061332626838,1.2978289107441083
B4 + 2-Day Persist,0.1319665470808582,0.1855563744334082,0.6417857681492,0.6474912734799032,-0.33636402324188786,4114.832646799799,32,28.626308120280832,1.3225686711210096
B1 + RSI>25 Exit,0.19959636909158118,0.35740535435351756,0.6476200091381503,0.7120983867806984,-0.5318820217508214,23458.22707445022,32,28.67929527089681,3.0
B2 + RSI>25 Exit,0.16594942111537825,0.23826034994938297,0.691580498550113,0.7596661638213938,-0.3843015798226384,9992.703093481992,32,28.67929527089681,2.0
B1 + RSI>35 Exit,0.21106747514536428,0.3654113153366844,0.666961095821324,0.7330213161034536,-0.5319549883052626,31208.59060043011,32,28.34812557954696,3.0
B2 + RSI>35 Exit,0.17369305412190617,0.24363867856112262,0.7090518446135062,0.7779767086761422,-0.38443562846531254,12187.535025060966,32,28.34812557954696,2.0
B1 + RSI>30 Exit + RSI<65 Entry,0.21530253998143678,0.35547053631284914,0.685491277876695,0.75725937709331,-0.523195775823239,34653.721093723696,32,29.116439263478608,3.0
B2 + RSI>30 Exit + RSI<65 Entry,0.1758685069531205,0.236972505358163,0.7296316198169066,0.8051535248738839,-0.3768035070896454,12883.661553062831,32,29.116439263478608,2.0
B1 + RSI>30 Exit + RSI<60 Entry,0.20890475145079512,0.3523116151395236,0.6734422856308595,0.7359564168578028,-0.5126093062447274,29579.420282857755,32,30.745794144919856,3.0
B2 + RSI>30 Exit + RSI<60 Entry,0.17119816337488292,0.23479805124488706,0.716952044022465,0.7828823443854298,-0.36818173577801055,11433.919197406618,32,30.745794144919856,2.0
