Date,equity
2021-05-06,22369.377220853
2021-05-07,22539.59402835189
2021-05-10,22409.226883496096
2021-05-11,22283.337868040937
2021-05-12,22253.75313101369
2021-05-13,22265.873270005915
2021-05-14,22342.696330061503
2021-05-17,22267.83667657284
2021-05-18,22302.62501717102
2021-05-19,22279.933952292668
2021-05-20,22402.693343196108
2021-05-21,22298.951608210344
2021-05-24,22360.396712351303
2021-05-25,22401.133871643833
2021-05-26,22491.853197735534
2021-05-27,22482.29764515167
2021-05-28,22540.45751432266
2021-06-01,22605.29093118058
2021-06-02,22659.20102669166
2021-06-03,22430.718418876397
2021-06-04,22706.561837394573
2021-06-07,22725.091341825144
2021-06-08,22703.94454370393
2021-06-09,22653.034276498176
2021-06-10,22790.17567718098
2021-06-11,22803.102874838358
2021-06-14,22872.17357355933
2021-06-15,22758.734449914075
2021-06-16,22637.67488513214
2021-06-17,22739.189099346095
2021-06-18,22517.208499772012
2021-06-21,22600.83192199154
2021-06-22,22721.27555676261
2021-06-23,22710.489196462942
2021-06-24,22776.911842184913
2021-06-25,22807.011406021105
2021-06-28,22916.704071405507
2021-06-29,22945.965397738564
2021-06-30,22892.522334688903
2021-07-01,22926.899854095373
2021-07-02,23091.43941545688
2021-07-05,23136.012503617072
2021-07-06,23075.150963880827
2021-07-07,23142.78984377826
2021-07-08,22967.30943171571
2021-07-09,23173.31617073743
2021-07-12,23223.70446804261
2021-07-13,23198.75527974445
2021-07-14,23230.339532718885
2021-07-15,23088.421166715263
2021-07-16,22898.918458543358
2021-07-19,22748.090855619397
2021-07-20,22828.042244814253
2021-07-21,22885.561935027228
2021-07-22,22979.538897151848
2021-07-23,23177.73475015756
2021-07-26,23206.467143167945
2021-07-27,23076.66459412392
2021-07-28,23142.959455293843
2021-07-29,23241.59749393628
2021-07-30,23104.531262153276
2021-08-02,23127.58663817584
2021-08-03,23260.656791128746
2021-08-04,23223.688964784444
2021-08-05,23334.184462178637
2021-08-06,23240.503103426396
2021-08-09,23242.900134308264
2021-08-10,23205.801202792594
2021-08-11,23243.264067546963
2021-08-12,23279.209226969397
2021-08-13,23338.405147050307
2021-08-16,23369.35961641901
2021-08-17,23227.49878941744
2021-08-18,23088.04938347284
2021-08-19,23040.50152561502
2021-08-20,23050.938312459657
2021-08-23,23273.15915480299
2021-08-24,23368.175245513707
2021-08-25,23389.977409548475
2021-08-26,23260.07795826281
2021-08-27,23491.191811233326
2021-08-30,23603.662554278097
2021-08-31,23635.63824159385
2021-09-01,23716.572851925834
2021-09-02,23712.024916737562
2021-09-03,23781.041670425297
2021-09-06,23789.73824186502
2021-09-07,23693.93609804258
2021-09-08,23560.657036265744
2021-09-09,23497.745358528617
2021-09-10,23325.400958817932
2021-09-13,23342.038761359658
2021-09-14,23313.27831445619
2021-09-15,23350.45286779136
2021-09-16,23291.227734405893
2021-09-17,23215.799119218133
2021-09-20,23215.822150765223
2021-09-21,23215.840576020488
2021-09-22,23215.863607608706
2021-09-23,23215.88663921977
2021-09-24,23215.909670853685
2021-09-27,23215.93270251045
2021-09-28,23215.960340524955
2021-09-29,23215.98797857236
2021-09-30,23216.013774115352
2021-10-01,23189.529027483914
2021-10-04,23205.38780014975
2021-10-05,23189.578538483653
2021-10-06,23198.659555691487
2021-10-07,23209.181623528875
2021-10-08,23222.163492064305
2021-10-11,23209.753289041942
2021-10-12,23209.241033779366
2021-10-13,23311.959611619775
2021-10-14,23455.5109291304
2021-10-15,23536.057100096114
2021-10-18,23625.804542533217
2021-10-19,23817.59198597484
2021-10-20,23855.13425637952
2021-10-21,23902.730954544844
2021-10-22,23840.13338640026
2021-10-25,24007.88781013201
2021-10-26,24043.372776536537
2021-10-27,24000.679909162787
2021-10-28,24193.540582308462
2021-10-29,24159.275562802464
2021-11-01,24265.020309662126
2021-11-02,24285.143601158787
2021-11-03,24405.88514073136
2021-11-04,24652.75216220618
2021-11-05,24762.36676693893
2021-11-08,24758.549849718478
2021-11-09,24618.702985219163
2021-11-10,24461.896590576423
2021-11-11,24557.274254190823
2021-11-12,24728.19758021206
2021-11-15,24717.41987717492
2021-11-16,24784.049803518305
2021-11-17,24756.27557126415
2021-11-18,24773.677336101544
2021-11-19,24742.9413153272
2021-11-22,24614.174023508094
2021-11-23,24575.325546905053
2021-11-24,24574.841521712257
2021-11-25,24554.761152304523
2021-11-26,24374.635879079764
2021-11-29,24431.35164155662
2021-11-30,24387.504658625025
2021-12-01,24387.553046531815
2021-12-02,24387.594660215018
2021-12-03,24387.636273969223
2021-12-06,24387.677887794438
2021-12-07,24613.983780579518
2021-12-08,24673.587550367938
2021-12-09,24530.513497810796
2021-12-10,24592.89169181127
2021-12-13,24402.16406083604
2021-12-14,24269.879277320742
2021-12-15,24367.819822391688
2021-12-16,24280.244801276924
2021-12-17,24160.632704135478
2021-12-20,24108.236865572908
2021-12-21,24186.20254927801
2021-12-22,24351.999333438354
2021-12-23,24500.91288213962
2021-12-24,24501.503557043343
2021-12-27,24728.73136858385
2021-12-28,24672.3784081284
2021-12-29,24712.75915855095
2021-12-30,24729.40787556621
2021-12-31,24673.407323492447
2022-01-03,24761.205275643017
2022-01-04,24790.54736535521
2022-01-05,24588.005520101622
2022-01-06,24463.844339227308
2022-01-07,24500.818353548682
