strategy,lead_pct_below_sma20,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,trading_costs_total,funding_costs_total,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,simulation
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.4535403914104079,0.2282980325172133,3.206984799296169,-0.14800563966085373,3657.689540617164,253,3037.4595893435635,149.7733788010308,4,1,252,364,29.92063492063492,29.523809523809526,33.37301587301587,7.182539682539682,25
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.43491419504283346,0.23132959509396997,3.211653521641187,-0.14800563966085373,3229.6119892295796,255,3263.747958995609,130.3825214956669,4,1,252,393,28.968253968253972,23.730158730158728,43.2936507936508,4.007936507936508,25
Original strict SMA20,0.0,0.25,0.3333333333333333,0.23931568207253373,0.222010677360311,3.4149377952221833,-0.25010370869232046,785.1037799643767,301,1558.5637385823295,37.26580549503212,5,2,0,628,39.8015873015873,22.976190476190474,19.603174603174605,17.61904761904762,26
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.2512466866209062,0.24163555795202046,2.995065013756956,-0.2331288847796252,861.1613248328315,272,1657.6732211324572,54.5954370490639,5,2,285,456,32.182539682539684,21.50793650793651,24.047619047619047,22.26190476190476,26
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.2609793161119247,0.22918890026384173,3.1000413330311343,-0.2329414903166165,928.0258916273301,278,1798.6803876960803,51.43313055612268,5,2,285,503,32.61904761904762,19.20634920634921,36.547619047619044,11.626984126984127,26
Original strict SMA20,0.0,0.25,0.3333333333333333,0.34660341324155564,0.2676277748306224,3.37162034809314,-0.2624225976221785,1749.515626292375,266,2499.0240536642054,77.9099282289327,2,1,0,751,40.1984126984127,15.476190476190476,15.396825396825397,28.92857142857143,27
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.42766418841611564,0.2900246945858194,2.9256281489842975,-0.28321745312227353,3075.52745165239,226,3575.4687386784863,141.27496402413973,2,1,223,576,33.25396825396825,15.714285714285714,17.3015873015873,33.730158730158735,27
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.43663416943897415,0.28249317263642776,3.008195515224952,-0.26608140340698794,3267.167013916469,222,3738.926708097026,167.17702176745306,2,1,223,675,32.61904761904762,7.063492063492063,38.76984126984127,21.547619047619047,27
Original strict SMA20,0.0,0.25,0.3333333333333333,0.3512063700795349,0.2371003773114044,3.691512875066026,-0.3306241059199396,1808.090794848627,317,3902.921567383815,65.49783181509343,4,2,0,624,36.904761904761905,23.65079365079365,22.817460317460316,16.626984126984127,28
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.4009209705400687,0.2628467152668302,3.052072441856015,-0.31863840092038004,2562.4893852426912,268,3818.0394126435067,90.34597566660457,4,2,269,444,29.761904761904763,23.65079365079365,27.6984126984127,18.88888888888889,28
