A,B,cagr,sharpe,max_dd,end,rebalances,tier2,tier3,cash_pct,pct2,pct3
0.08,0.24,0.3831815057810195,3.1224402091620336,-0.31840851983132024,1663589.3546383986,761,9,4,29.044653504703856,40.65191466808003,18.08665694978137
0.08,0.25,0.3869063596844875,3.1299567585000916,-0.2750717334360086,1803337.9563596027,765,9,4,29.110904995362397,44.69325559825096,13.621306479395786
0.08,0.26,0.38499713168842353,3.123893529281793,-0.2750717334360086,1730347.1792242324,766,9,4,29.110904995362397,44.825758579568046,13.475553199946999
0.08,0.27,0.3756903156263949,3.134109041805268,-0.2750717334360086,1413537.9493749873,772,8,3,29.269908572942892,44.680005300119255,12.56128262885915
0.08,0.28,0.3756903156263949,3.134109041805268,-0.2750717334360086,1413537.9493749873,772,8,3,29.269908572942892,44.680005300119255,12.56128262885915
0.08,0.29,0.3756903156263949,3.134109041805268,-0.2750717334360086,1413537.9493749873,772,8,3,29.269908572942892,44.680005300119255,12.56128262885915
0.08,0.3,0.3741446989708821,3.133625050571717,-0.2750717334360086,1366672.3833111415,774,9,3,29.269908572942892,44.64025440572413,12.455280243805486
0.08,0.31,0.3731336409311521,3.13214572640449,-0.2750717334360086,1336831.9561934355,774,9,3,29.269908572942892,44.666755001987546,12.336027560620114
0.08,0.32,0.3714230312944533,3.1418916171446876,-0.2750717334360084,1287773.445784686,776,10,4,29.296409169206306,46.29654167218762,10.467735524049292
0.08,0.33,0.3557680180932348,3.113130390049809,-0.2750717334360084,912624.2024601807,774,9,3,29.574665429972175,47.568570292831595,7.751424407049158
0.08,0.34,0.35392946508497225,3.106896707761686,-0.2750717334360084,876225.0421185194,773,9,2,29.574665429972175,50.351132900490256,4.876109712468531
0.08,0.35,0.35392946508497225,3.106896707761686,-0.2750717334360084,876225.0421185194,773,9,2,29.574665429972175,50.351132900490256,4.876109712468531
0.09,0.1,0.3801853825923269,2.9805254848072873,-0.361692303949157,1558834.7579398078,818,2,9,31.721213727308868,2.6235590300781766,36.4250695640652
0.09,0.11,0.3811557422311982,2.9936296589100264,-0.361692303949157,1592043.3420113204,821,4,8,31.575460447860078,5.644627004107592,35.497548694845634
0.09,0.12,0.38409756855917276,3.002195642317057,-0.36176907968130934,1696954.245993668,807,5,7,30.939446137538095,11.262753411951769,33.19199681992845
0.09,0.13,0.39184021507773115,3.0304640659860924,-0.3618664208104044,2006013.249441112,801,6,6,30.70094077116735,14.482575857956803,31.933218497416192
