strategy,lead_pct_below_sma20,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,trading_costs_total,funding_costs_total,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,cagr_delta_pp_vs_original,max_dd_delta_pp_vs_original,sharpe_delta_vs_original,keeps_original_cagr,improves_original_drawdown,improves_original_sharpe
Lead 0.75 X30.00% Y60.00%,0.0075,0.3,0.6,0.4255621033953165,0.3093376084547482,3.1308137092480144,-0.36078043037910323,4113064.01336075,793,4415840.70657468,449415.8603306788,6,3,751,1489,30.157678547767325,17.967404266596,12.09752219424937,39.777394991387304,13.165492262209511,-1.7065307226029225,-0.1016566733574229,True,False,False
Lead 0.75 X35.00% Y65.00%,0.0075,0.35,0.65,0.42482877043165734,0.3126884643525707,3.130169900508625,-0.3609348253076645,4050074.608226855,783,4470609.214916997,433912.26253973326,5,3,751,1525,29.958924075791703,16.748376838478865,10.957996554922486,42.33470253080694,13.092158965843591,-1.721970215459051,-0.1023004820968123,True,False,False
Lead 0.75 X15.00% Y75.00%,0.0075,0.15,0.75,0.4170569999732021,0.31103029291295936,3.1280925253655796,-0.36049348293231154,3437309.1740077734,806,3510854.9783164607,377018.60415406426,5,3,751,1455,30.83344375248443,20.551212402279052,3.5908307936928585,45.02451305154366,12.314981919998068,-1.6778359779237528,-0.10437785723985771,True,False,False
Lead 0.75 X25.00% Y70.00%,0.0075,0.25,0.7,0.42621449160211244,0.31188497949493527,3.124166955102746,-0.3605640363421126,4169895.8258124995,790,4229887.28314262,456773.4128953967,5,3,751,1489,30.555187491718566,18.510666489996026,7.5526699350735385,43.38147608321187,13.230731082889102,-1.6848913189038583,-0.10830342750269129,True,False,False
Lead 0.75 X40.00% Y50.00%,0.0075,0.4,0.5,0.4232052676669913,0.30958813622320586,3.12224616039366,-0.3615812830636155,3913924.204619527,779,3713384.486211738,363916.3330519858,6,3,751,1527,29.73366900755267,16.894130117927652,15.714853584205645,37.65734729031403,12.929808689376987,-1.7866159910541468,-0.11022422221177708,True,False,False
Lead 0.75 X30.00% Y65.00%,0.0075,0.3,0.65,0.42344240958293944,0.31155437243577777,3.121490327106815,-0.36078043037910323,3933531.8187056216,788,4334286.920454934,421016.78170453827,5,3,751,1497,30.23718033655757,18.113157546044786,9.3149595865907,42.33470253080694,12.953522880971802,-1.7065307226029225,-0.11098005549862222,True,False,False
Lead 0.75 X35.00% Y55.00%,0.0075,0.35,0.55,0.42123075721876835,0.3090830374990082,3.121456083222625,-0.3609348253076645,3754293.2300053244,788,3666800.6954814503,363215.2766242897,6,3,751,1500,29.932423479528293,17.68914800583013,13.92606333642507,38.45236517821651,12.732357644554693,-1.721970215459051,-0.11101429938281226,True,False,False
Lead 0.75 X10.00% Y75.00%,0.0075,0.1,0.75,0.41396065790714,0.3103151275245656,3.115849489650891,-0.3603209262571144,3219031.90624051,808,3289363.75694053,352672.26457572414,5,3,751,1442,31.071949118855173,21.942493706108387,1.9610441234927785,45.02451305154366,12.005347713391856,-1.6605803104040417,-0.11662089295454647,True,False,False
Lead 0.75 X20.00% Y70.00%,0.0075,0.2,0.7,0.42427583590703866,0.3107422594327374,3.115425369766275,-0.3607947981933179,4003198.129802763,790,4078181.940664793,438440.16800786805,5,3,751,1478,30.687690473035644,19.623691533059496,6.30714191069299,43.38147608321187,13.036865513381724,-1.707967504024388,-0.11704501283916224,True,False,False
Lead 0.75 X35.00% Y50.00%,0.0075,0.35,0.5,0.41297488400804183,0.3078155034380776,3.111760945532718,-0.3609348253076645,3152396.5749521106,790,3140860.770160651,299068.4394613483,6,3,751,1497,29.958924075791703,18.45766529746919,13.92606333642507,37.65734729031403,11.906770323482041,-1.721970215459051,-0.12070943707271908,True,False,False
Lead 0.75 X30.00% Y55.00%,0.0075,0.3,0.55,0.41842727119698053,0.30784972338518085,3.110292552425317,-0.36078043037910323,3538411.265863593,793,3552284.3798976825,344240.2265232589,6,3,751,1472,30.210679740294154,19.239432887239964,12.09752219424937,38.45236517821651,12.452009042375911,-1.7065307226029225,-0.1221778301801204,True,False,False
Lead 0.75 X25.00% Y65.00%,0.0075,0.25,0.65,0.4167721552152006,0.3109333711114334,3.1090009218263344,-0.3605640363421126,3416646.017209956,796,3780530.5704413657,365493.2039102121,5,3,751,1487,30.59493838611369,19.51768914800583,7.5526699350735385,42.33470253080694,12.28649744419792,-1.6848913189038583,-0.12346946077910292,True,False,False
Lead 0.75 X50.00% Y45.00%,0.0075,0.5,0.45,0.4191410588562172,0.30958198198616715,3.1069054927349566,-0.3618685094442792,3592208.9947107625,777,3217543.3591352673,306986.4778472321,5,3,751,1567,29.574665429972175,16.629124155293496,17.87465217967404,35.92155823506029,12.52338780829958,-1.8153386291205165,-0.12556488987048064,True,False,False
Lead 0.75 X60.00% Y45.00%,0.0075,0.6,0.45,0.41291875314876414,0.3104562828719592,3.1045232957337516,-0.3618685094442792,3148642.6968017104,777,2859680.147227293,270043.00626322126,4,3,751,1625,29.322909765469724,15.860606863654434,18.894925135815555,35.92155823506029,11.901157237554273,-1.8153386291205165,-0.12794708687168566,True,False,False
Lead 0.75 X30.00% Y50.00%,0.0075,0.3,0.5,0.41018778877561846,0.306576435559889,3.1005704485442367,-0.36078043037910323,2971131.951947106,795,3042266.680882005,283270.9278009573,6,3,751,1469,30.23718033655757,20.007950178879025,12.09752219424937,37.65734729031403,11.628060800239703,-1.7065307226029225,-0.1318999340612006,True,False,False
Lead 0.75 X20.00% Y65.00%,0.0075,0.2,0.65,0.4148462813723377,0.3097865216247866,3.1002178666105062,-0.3607947981933179,3280056.891681013,796,3646173.112170438,350818.20992213313,5,3,751,1476,30.727441367430767,20.6307141910693,6.30714191069299,42.33470253080694,12.093910059911629,-1.707967504024388,-0.13225251599493104,True,False,False
Lead 0.75 X15.00% Y70.00%,0.0075,0.15,0.7,0.41588464111611656,0.30934309803517324,3.09880336486199,-0.36049348293231154,3353031.146593643,804,3428496.8628410376,366575.69550543453,5,3,751,1416,31.138200609513717,21.889492513581555,3.5908307936928585,43.38147608321187,12.197746034289514,-1.6778359779237528,-0.13366701774344714,True,False,False
Lead 0.75 X25.00% Y60.00%,0.0075,0.25,0.6,0.41565830923293645,0.3080012234463532,3.0974809323215777,-0.3605640363421126,3336992.3583649616,801,3226999.6407358292,336119.9218167593,6,3,751,1445,30.83344375248443,20.339207632171725,9.049953623956538,39.777394991387304,12.175112845971503,-1.6848913189038583,-0.13498945028385956,True,False,False
Lead 0.75 X55.00% Y45.00%,0.0075,0.55,0.45,0.4118956444173716,0.31011670102182776,3.096457138152604,-0.3618685094442792,3080972.3846973837,777,2795259.316399483,263665.00038299523,4,3,751,1601,29.428912150523384,16.65562475155691,17.993904862859413,35.92155823506029,11.798846364415017,-1.8153386291205165,-0.13601324445283325,True,False,False
