strategy,trigger_a,trigger_b,lead_pct_below_sma20,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,trading_costs_total,funding_costs_total,tier2_entries,tier3_entries,lead_only_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,simulation
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.3196753822067411,0.22532498838339832,3.1284800571677587,-0.2224523657684573,1439.6408834091353,271,1740.816172538038,0.0,5,2,255,31.706349206349206,20.674603174603174,41.03174603174603,6.587301587301588,155
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.30477829412545443,0.222005413131599,3.1440002242060734,-0.221358876813393,1290.2424704235095,252,1602.3023497188844,0.0,3,0,255,29.92063492063492,12.222222222222221,57.85714285714286,0.0,155
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.3865956683734113,0.21268729120516439,3.7725724660820044,-0.23143736973109275,2320.5039265906353,315,3235.980441508589,0.0,2,1,0,35.23809523809524,39.24603174603175,13.61111111111111,11.904761904761903,156
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.48917653503656244,0.25127168712057874,3.501236377887002,-0.22374027293274026,4620.8905372521685,294,6017.435783432787,0.0,4,2,250,29.841269841269842,27.22222222222222,31.150793650793652,11.785714285714285,156
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.5411631248190665,0.26043128331683096,3.637926899679801,-0.22374027293274026,6434.989606536914,278,7213.857310502502,0.0,7,3,250,27.6984126984127,12.936507936507939,49.76190476190476,9.603174603174605,156
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.35424554622643445,0.22911422690307573,3.689161645172327,-0.21673027914994258,1847.7233641465812,287,2911.347199029191,0.0,4,1,0,40.43650793650794,19.166666666666668,22.18253968253968,18.21428571428571,157
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.2964384384909826,0.24379292485433157,3.3224053647449816,-0.39433844043981064,1212.816805682388,270,2010.8773210324882,0.0,3,1,252,31.30952380952381,8.333333333333332,51.269841269841265,9.087301587301587,157
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.31302454349058073,0.2414069902987971,3.2538283891061415,-0.27810545434546985,1371.1261937084678,262,2049.9961307105673,0.0,2,0,252,30.51587301587302,1.3888888888888888,68.0952380952381,0.0,157
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.28916992928475804,0.23370071301095674,3.3295515902576143,-0.24072834318879754,1148.762455185683,288,1361.6850155826257,0.0,5,1,0,37.06349206349206,22.976190476190474,24.72222222222222,15.238095238095239,158
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.3958667746702893,0.25263400384316176,3.143999411876485,-0.3175071452084415,2474.647499128755,249,2147.7558884031732,0.0,4,1,250,28.69047619047619,10.634920634920634,55.00000000000001,5.674603174603175,158
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.40313844257991116,0.24586836091623815,3.1669021114503613,-0.3175071452084423,2601.9034079728863,234,2211.365860881241,0.0,3,0,250,28.095238095238095,5.674603174603175,66.23015873015873,0.0,158
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.3268778374434449,0.2939910776417974,3.5644792062518116,-0.3744725723136894,1517.2853569899914,322,2764.5644760504138,0.0,1,1,0,40.992063492063494,14.96031746031746,1.4285714285714286,42.61904761904762,159
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.38410098081138755,0.3286851509663594,3.0108716055642173,-0.3271988009340275,2280.524169515034,285,3390.9293289300376,0.0,2,3,289,33.29365079365079,15.396825396825397,2.1031746031746033,49.2063492063492,159
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.40859541057225623,0.34187902415736243,3.084301951065578,-0.32719880093402737,2701.2213471094387,268,4089.80676428909,0.0,3,4,289,30.039682539682538,1.1111111111111112,22.26190476190476,46.58730158730159,159
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.30095737245508336,0.25703219794455817,3.3403904196504124,-0.3232781971743892,1254.2363087015158,295,1905.3754433144845,0.0,3,2,0,35.11904761904761,28.015873015873016,14.523809523809526,22.341269841269842,160
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.3939377004733273,0.2528255073680095,3.007208940356825,-0.2773571546234631,2441.838536827982,247,2103.3287583141064,0.0,4,2,254,27.65873015873016,21.03174603174603,40.75396825396825,10.555555555555555,160
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.4250001186075216,0.2511399964354091,3.1270230013159277,-0.25851832402688246,3020.585359694337,234,2620.347906925443,0.0,3,0,254,26.34920634920635,8.61111111111111,65.03968253968254,0.0,160
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.2732784599985516,0.307467865489585,3.4438307393987886,-0.516880115592642,1019.1611990921642,316,1927.0108997501925,0.0,0,1,0,41.46825396825397,12.619047619047619,0.0,45.91269841269841,161
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.3594013714075128,0.33459044792475184,3.2083509608255936,-0.5850763168272413,1916.7424092643275,297,2101.923511881698,0.0,1,1,281,33.05555555555556,12.619047619047619,0.15873015873015872,54.166666666666664,161
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.37475575093924474,0.34474818794994455,3.289869538273531,-0.589734777230868,2136.1877919242697,291,2422.023659762307,0.0,2,1,281,30.634920634920636,1.3888888888888888,13.80952380952381,54.166666666666664,161
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.3871074238335972,0.22916612537109912,3.524942168721291,-0.21465008327590404,2328.7825335185566,294,3556.1912315730906,0.0,3,2,0,39.56349206349206,37.182539682539684,3.015873015873016,20.238095238095237,162
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.3232007194388442,0.23751869838572592,3.0901506013015294,-0.22923499529965546,1477.188296794145,291,2612.0179860735357,0.0,4,3,279,34.8015873015873,30.674603174603178,21.547619047619047,12.976190476190478,162
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.3582993339861247,0.25028697407765194,3.3140531910828215,-0.28743404615359897,1901.7986835801355,279,3721.1838059291936,0.0,5,2,279,30.912698412698415,14.246031746031745,44.920634920634924,9.920634920634921,162
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.2801520993303104,0.2854076932217482,3.2007499554616614,-0.28756970622971506,1073.5159068938,323,1776.7068020823301,0.0,2,2,0,41.904761904761905,20.992063492063494,4.087301587301587,33.01587301587301,163
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.2930233073451103,0.29960797380601717,2.921614212724894,-0.2909648122989382,1182.3325092893617,303,1752.9763457884035,0.0,1,3,287,34.84126984126984,23.76984126984127,1.3888888888888888,40.0,163
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.3417535480045242,0.30508036898747287,3.061241954219379,-0.2379767594634662,1689.6440671221244,259,2429.3977633314053,0.0,4,3,287,30.555555555555557,1.6666666666666667,35.23809523809524,32.53968253968254,163
