strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,simulation
Guarded A5/B25 SMA20 Lead,0.2934566514497705,0.22241862321504155,3.2805604774565515,-0.3331841980674867,0.8807640132751152,1186.1622089641223,276,1852.7236996028737,0.0,27.023809523809522,13.293650793650794,59.682539682539684,0.0,3,0,276,64
Guarded A5/B25 SMA20 Lead,0.47862442218972756,0.2445521261833948,3.6222813356656065,-0.259004071606529,1.8479416914991167,4314.402332481311,277,6000.22530433949,0.0,27.063492063492063,13.373015873015873,59.56349206349206,0.0,5,0,265,65
Guarded A5/B25 SMA20 Lead,0.24474858429792534,0.24174154320390634,3.2076257335969784,-0.23900526044543238,1.0240301148258795,818.9566015896985,293,2113.191601257831,0.0,30.396825396825395,8.571428571428571,56.07142857142857,4.9603174603174605,4,1,285,66
Guarded A5/B25 SMA20 Lead,0.34933264582004475,0.2509912685850175,3.1723518501281505,-0.3401754084713865,1.0269191632334838,1784.037777089235,251,2274.6082206525366,0.0,30.357142857142854,5.317460317460317,54.047619047619044,10.277777777777777,4,2,264,67
Guarded A5/B25 SMA20 Lead,0.38877032453036264,0.22911576978795586,3.3527369889238434,-0.2877138171801585,1.3512396739949593,2355.8661789599596,249,1839.3742225888843,0.0,26.50793650793651,11.626984126984127,61.86507936507937,0.0,3,0,275,68
Guarded A5/B25 SMA20 Lead,0.1989177361539114,0.22931359126716055,3.2019259571796557,-0.29648168158178956,0.6709275766807755,570.19783351699,306,1233.9489812980214,0.0,30.793650793650794,5.238095238095238,60.67460317460317,3.293650793650794,4,1,296,69
Guarded A5/B25 SMA20 Lead,0.40289937565663725,0.2191855177130358,3.3863404472576715,-0.2112642256549393,1.9070875554420568,2597.6281828011984,245,4732.032682645479,0.0,26.666666666666668,15.476190476190476,57.85714285714286,0.0,5,0,251,70
Guarded A5/B25 SMA20 Lead,0.19867462903457156,0.23176072266381445,3.343059219442116,-0.39185052546762256,0.5070163649710033,569.0829695747386,294,2079.70766687474,0.0,33.095238095238095,8.968253968253968,44.007936507936506,13.928571428571429,2,2,290,71
Guarded A5/B25 SMA20 Lead,0.503754842973577,0.2542127350910285,3.5196227217965435,-0.16045422623318378,3.1395548425224007,5076.417554123424,299,6505.615863110729,0.0,26.865079365079364,24.206349206349206,48.92857142857142,0.0,4,0,257,72
Guarded A5/B25 SMA20 Lead,0.3499006022412303,0.2517664426904025,3.157892158876326,-0.25687975852626266,1.3621182309133069,1791.2981639142643,280,2690.9081483204814,0.0,28.57142857142857,12.46031746031746,58.96825396825397,0.0,3,0,273,73
Guarded A5/B25 SMA20 Lead,0.38789744959941674,0.27482373918402286,3.266096223598916,-0.2733525450660812,1.4190372711022137,2341.6146749934037,274,3585.563236119323,0.0,24.801587301587304,5.357142857142857,59.92063492063492,9.920634920634921,5,1,272,74
Guarded A5/B25 SMA20 Lead,0.40434313553999734,0.23968699876838673,3.228360016688349,-0.2178817215397127,1.8557919071072644,2623.543011367262,235,3869.6246905791277,0.0,27.976190476190478,8.373015873015872,63.650793650793645,0.0,4,0,281,75
Guarded A5/B25 SMA20 Lead,0.3590301678527623,0.2821243462127241,3.4017098975287445,-0.4530101915925418,0.792543246302261,1911.6971421007725,271,6898.619913508041,0.0,34.20634920634921,7.777777777777778,26.904761904761905,31.11111111111111,4,5,249,76
Guarded A5/B25 SMA20 Lead,0.33357737298086376,0.26964119534920167,3.303682105579153,-0.29861795520467604,1.1170707158322952,1592.8560138805988,312,3135.9145683298616,0.0,30.952380952380953,11.230158730158731,46.98412698412698,10.833333333333334,3,1,269,77
Guarded A5/B25 SMA20 Lead,0.424369353952075,0.25117465670869293,3.2324730073169703,-0.29193877230096255,1.4536245069722649,3007.706390970142,256,7375.558947400124,0.0,29.603174603174605,15.99206349206349,52.38095238095239,2.0238095238095237,4,1,249,78
Guarded A5/B25 SMA20 Lead,0.3697113660076743,0.29392513788823876,3.112731827121712,-0.26056819735865605,1.4188660387391383,2061.730370202891,266,4689.626202917673,0.0,34.32539682539682,2.619047619047619,41.46825396825397,21.58730158730159,5,3,230,79
Guarded A5/B25 SMA20 Lead,0.411937191632725,0.2505513040813919,3.3012911449821254,-0.3585322250350901,1.1489544394298397,2763.7071749946704,249,3672.622506158005,0.0,26.865079365079364,6.746031746031746,61.07142857142858,5.317460317460317,5,1,294,80
