name,fast,slow,signal,hist_pct,confirm_days,req_sma200,exit_sma200,final,full_return,full_max_dd,crash_return,crash_max_dd,y2008_return,bh_crash_return,crash_vs_bh,avg_leverage,rebalances,trading_costs
MACD 8/39/5 3x,8,39,5,0.0,1,False,False,15550.34679955537,154.5034679955537,-0.8060392324742401,-0.5206639047122372,-0.7053065774430424,-0.555192008782843,-0.37595493994012186,-0.14470896477211537,2.0153683094859565,875,42473.71820834989
MACD 8/39/5 3x,8,39,5,0.0,1,True,False,2231.4012379134656,21.314012379134656,-0.6473621798141416,-0.3898202828441518,-0.4990278117562241,-0.37584650027182276,-0.37595493994012186,-0.013865342904029965,1.6801801801801801,642,10299.644150611895
MACD 8/39/5 3x,8,39,5,0.0,1,True,True,1830.4831770965006,17.304831770965006,-0.671949402616222,-0.3898202828441524,-0.49902781175622457,-0.37584650027182387,-0.37595493994012186,-0.01386534290403052,1.6626921038685745,642,8326.013985572024
MACD 8/39/5 3x,8,39,5,0.0,3,False,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/5 3x,8,39,5,0.0,3,True,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/5 3x,8,39,5,0.0,3,True,True,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/5 3x,8,39,5,0.05,1,False,False,109416.72771165735,1093.1672771165736,-0.7053065774430428,-0.6258639014885448,-0.7053065774430428,-0.5551920087828432,-0.37595493994012186,-0.2499089615484229,1.685214626391097,505,77504.58333101677
MACD 8/39/5 3x,8,39,5,0.05,1,True,False,15029.79410563435,149.2979410563435,-0.4990278117562235,-0.38982028284415104,-0.4990278117562235,-0.37584650027182287,-0.37595493994012186,-0.013865342904029188,1.4077901430842608,330,14614.477943732454
MACD 8/39/5 3x,8,39,5,0.05,1,True,True,12674.252779182494,125.74252779182494,-0.4990278117562239,-0.3898202828441516,-0.4990278117562239,-0.3758465002718232,-0.37595493994012186,-0.013865342904029743,1.3950715421303657,330,12343.560430180256
MACD 8/39/5 3x,8,39,5,0.05,3,False,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/5 3x,8,39,5,0.05,3,True,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/5 3x,8,39,5,0.05,3,True,True,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/5 3x,8,39,5,0.1,1,False,False,150412.77711175007,1503.1277711175007,-0.6646439662912291,-0.5677620739315989,-0.653013410549093,-0.5037091110270653,-0.37595493994012186,-0.19180713399147709,1.3979862215156333,257,48786.76867309294
MACD 8/39/5 3x,8,39,5,0.1,1,True,False,24294.67364669659,241.9467364669659,-0.5241425377302542,-0.3866708157269453,-0.48596326409221985,-0.37584650027182387,-0.37595493994012186,-0.010715875786823426,1.1857445680975092,140,7516.52687122148
MACD 8/39/5 3x,8,39,5,0.1,1,True,True,20063.12830726729,199.6312830726729,-0.524142537730254,-0.38667081572694506,-0.4859632640922197,-0.37584650027182365,-0.37595493994012186,-0.010715875786823204,1.174350821409645,140,6246.757548091475
MACD 8/39/5 3x,8,39,5,0.1,3,False,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/5 3x,8,39,5,0.1,3,True,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/39/5 3x,8,39,5,0.1,3,True,True,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
