strategy,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,pct_days_cash,simulation
SMA20 1x/cash,3.4020844926286946,0.5039135086378725,3.714109584980097,-0.21329052133416343,161262452.51742443,320,50.95238095238095,109
SMA20 1x/cash,4.9450418403689484,0.5281451337789784,4.086814951580763,-0.2094150147569906,2930525245.8690486,299,43.57142857142857,110
SMA20 1x/cash,4.599944304218314,0.5803392748601308,3.644734146193992,-0.20941501475699034,1645505406.0374308,289,48.45238095238095,111
SMA20 1x/cash,3.8235958515230957,0.5364714531517467,3.656158586528649,-0.33944781418995873,389758824.14032775,300,50.67460317460317,112
SMA20 1x/cash,5.338834387239492,0.5916376479651325,3.791156549978288,-0.33944781418995856,5442106439.049397,288,39.6031746031746,113
SMA20 1x/cash,3.6654547522806284,0.5052057282224214,3.8078870790973167,-0.19247633567054934,282540164.3597759,310,50.71428571428571,114
SMA20 1x/cash,4.092789675252471,0.5084307138604744,3.8838846413448107,-0.2413170771744147,658281027.0373724,277,46.30952380952381,115
SMA20 1x/cash,4.67661509832848,0.5340109090695636,3.935595292011155,-0.2094150147569903,1876269266.480157,286,44.920634920634924,116
SMA20 1x/cash,3.644527426916924,0.5029144437839301,3.7314548778933867,-0.21897484064504433,270543589.0439586,272,45.11904761904762,117
SMA20 1x/cash,2.567248427679846,0.46069742596133206,3.4626999137371577,-0.20941501475699023,21191536.27773895,265,53.41269841269841,118
SMA20 1x/cash,3.6406575082260035,0.4980606724452898,3.811311541634603,-0.18056715535407714,268375876.29327443,296,50.63492063492063,119
SMA20 1x/cash,3.9815591658828886,0.5244227846630154,3.6971642531209397,-0.17956913948855505,531930206.04986745,257,44.08730158730159,120
SMA20 1x/cash,4.983896364506016,0.5773816490384996,3.816797020921983,-0.33944781418995845,3120680867.1935134,313,45.317460317460316,121
SMA20 1x/cash,5.440932911767866,0.5831761194277384,3.9174410630058634,-0.33944781418995873,6349483044.080878,315,45.07936507936508,122
SMA20 1x/cash,4.368748020257022,0.5107898967374214,3.996177564792148,-0.1795691394885549,1095429085.9328,292,44.36507936507936,123
SMA20 1x/cash,4.124483501224175,0.5542369195695709,3.6866177803016624,-0.22489996983947566,698898947.1114216,318,51.3095238095238,124
SMA20 1x/cash,5.63142939667024,0.6146173295148658,3.7663832345433046,-0.32714033536232245,8412079701.20718,305,45.357142857142854,125
SMA20 1x/cash,5.7063162218442685,0.5818412608715593,3.9834523520249103,-0.3394478141899586,9374967145.217304,312,39.007936507936506,126
SMA20 1x/cash,3.9451792296844967,0.4977772423741228,3.9474718400523687,-0.20941501475699018,495602271.28898644,300,50.357142857142854,127
SMA20 1x/cash,3.2564993594982212,0.5220473124829605,3.450229237764509,-0.1865054105665182,116566505.76548058,270,50.03968253968254,128
SMA20 1x/cash,3.5905354245947363,0.5495402381960222,3.5256603964222704,-0.19759981578598973,241672944.7425353,324,52.5,129
SMA20 1x/cash,3.090586623047324,0.5139879497850011,3.521962349165366,-0.19247633567054934,79420292.04302654,322,50.317460317460316,130
SMA20 1x/cash,4.719945253404791,0.5471403792849828,3.8901046053916795,-0.32394098288072337,2019140821.6779778,296,44.761904761904766,131
SMA20 1x/cash,5.086624515477068,0.5739869046647151,3.873836135279054,-0.33944781418995856,3677844032.7952027,317,42.65873015873016,132
SMA20 1x/cash,3.3565137882271348,0.5042298481436406,3.6489218308233067,-0.3394478141899586,145853891.63988537,292,49.44444444444444,133
SMA20 1x/cash,4.745263132488184,0.5197827261724804,4.0314143973113294,-0.18096917846656568,2107063303.3061688,272,42.89682539682539,134
SMA20 1x/cash,3.210608370759463,0.4972249633100787,3.6795401537084813,-0.2227330512807237,104988057.97764069,322,49.72222222222222,135
SMA20 1x/cash,3.8298269674237178,0.5238826291770097,3.7700546039025618,-0.32714033536232234,394645208.8662209,319,47.38095238095238,136
SMA20 1x/cash,4.6890624400893826,0.5489798472170716,3.997352756038249,-0.3271403353623225,1916353523.0024915,368,46.15079365079365,137
SMA20 1x/cash,3.3521395404458953,0.5052570594048023,3.677377629517614,-0.27459529531456384,144446659.4227591,315,53.214285714285715,138
SMA20 1x/cash,4.033396747240165,0.5180571879393262,3.8169679335556,-0.17551068721726815,587819468.0311033,285,48.69047619047619,139
SMA20 1x/cash,5.007359813709316,0.5909352964198978,3.7274477413116753,-0.3394478141899585,3240797474.6490307,304,43.96825396825397,140
SMA20 1x/cash,3.889965359099337,0.5312038518975996,3.7341198063763477,-0.20941501475699045,444705941.42443186,317,50.198412698412696,141
SMA20 1x/cash,3.884270141604631,0.5687532705046758,3.4979384515683947,-0.33944781418995834,439732471.68253976,304,50.357142857142854,142
SMA20 1x/cash,3.779161588129317,0.5532569920785049,3.5145823309276483,-0.3394478141899582,356456861.6186499,287,47.73809523809524,143
SMA20 1x/cash,2.893643202619966,0.49382055586178775,3.4999289866673893,-0.19247633567054934,49330732.649454206,297,50.39682539682539,144
SMA20 1x/cash,4.116451169666487,0.5488070829012208,3.684681187001503,-0.33944781418995834,688397911.6456178,298,47.77777777777778,145
SMA20 1x/cash,2.0692395319405708,0.4820325416463771,3.023085193306524,-0.1910857605419926,4965148.95441089,264,60.39682539682539,146
SMA20 1x/cash,3.278644593377301,0.49670888027208576,3.6974787148241686,-0.2745952953145638,122552872.35333468,312,51.19047619047619,147
