strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_cash,family,sma_window,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,max_leverage,exit_buffer,entry_buffer,confirm_days,fast,slow,min_hold_days
Dual SMA enter>20d exit<100d,0.6575738104227953,0.41130767350675107,2.091003811799203,-0.3814118935964466,1.72405166556904,89657.2254834384,406,39954.6501643051,26.50812064965197,dual_sma,,,,,,,,,,,,,,20.0,100.0,
Dual SMA enter>10d exit<50d,1.3729402492593699,0.40868553317328504,3.2145680838498145,-0.29079468403640013,4.721338884886604,11268358.996294644,534,4049701.9706094433,28.915313225058004,dual_sma,,,,,,,,,,,,,,10.0,50.0,
SMA20 1x/cash + min hold 5d,0.5529124248124331,0.4574902295601108,1.3442066086866942,-0.4967759697579304,1.1130015509442956,37234.99642631872,140,4808.387423527574,18.85150812064965,min_hold,,,,,,,,,,,,,,,,5.0
Guarded max 1x + min hold 5d,0.5189215235852787,0.4683402011854204,1.2705663712882302,-0.5736721745006292,0.9045610832301393,27634.664364154458,136,3750.5149153897105,17.111368909512763,min_hold,,,,,,,,,,,,,,,,5.0
SMA20 1x/cash + min hold 10d,0.505179359891375,0.49836039806267296,1.135068121662058,-0.6018749210492819,0.8393427641255892,24449.799546590923,78,3115.4738598241297,10.46983758700696,min_hold,,,,,,,,,,,,,,,,10.0
Guarded max 1x + min hold 10d,0.48383855677187015,0.5082998392708103,1.0896934340129933,-0.62889676904104,0.7693449554680353,20170.717042568416,74,2712.615574916802,9.280742459396752,min_hold,,,,,,,,,,,,,,,,10.0
SMA20 1x/cash + min hold 20d,0.4522164158541304,0.5450083651211899,0.9476218858004753,-0.700683985739686,0.645392823380632,15089.594998888151,26,668.873536414433,2.87122969837587,min_hold,,,,,,,,,,,,,,,,20.0
Guarded max 1x + min hold 20d,0.4359334403872275,0.5492746500739877,0.919192603568117,-0.7569142195901034,0.5759350651693416,12962.836620036722,22,506.81137325690105,2.117169373549884,min_hold,,,,,,,,,,,,,,,,20.0
Guarded max 1x exit-1% 1d confirm,1.827130147246026,0.35372168453519565,3.8290616822227093,-0.2467134551854526,7.405879609900426,119289112.70608458,378,36210667.13751186,33.932714617169374,guarded_exit,,22.0,12.0,,,33.932714617169374,,,,,0.01,,1.0,,,
Guarded max 1x exit-1% 2d confirm,0.9626317804440452,0.32265292821745145,2.9547497056824286,-0.3034290793549369,3.1725099733041877,873055.9722676243,342,364362.99407917913,37.55800464037123,guarded_exit,,22.0,12.0,,,37.55800464037123,,,,,0.01,,2.0,,,
Guarded max 1x exit-1% 3d confirm,0.899829506257197,0.317629986245133,2.8603281513586074,-0.2670443271874688,3.369588546344609,563309.7555001883,328,223478.18864971088,39.849187935034806,guarded_exit,,22.0,12.0,,,39.849187935034806,,,,,0.01,,3.0,,,
Guarded max 1x exit-2% 1d confirm,1.827130147246026,0.35372168453519565,3.8290616822227093,-0.2467134551854526,7.405879609900426,119289112.70608458,378,36210667.13751186,33.932714617169374,guarded_exit,,22.0,12.0,,,33.932714617169374,,,,,0.02,,1.0,,,
Guarded max 1x exit-2% 2d confirm,0.9626317804440452,0.32265292821745145,2.9547497056824286,-0.3034290793549369,3.1725099733041877,873055.9722676243,342,364362.99407917913,37.55800464037123,guarded_exit,,22.0,12.0,,,37.55800464037123,,,,,0.02,,2.0,,,
Guarded max 1x exit-2% 3d confirm,0.899829506257197,0.317629986245133,2.8603281513586074,-0.2670443271874688,3.369588546344609,563309.7555001883,328,223478.18864971088,39.849187935034806,guarded_exit,,22.0,12.0,,,39.849187935034806,,,,,0.02,,3.0,,,
Guarded max 1x exit-3% 1d confirm,1.827130147246026,0.35372168453519565,3.8290616822227093,-0.2467134551854526,7.405879609900426,119289112.70608458,378,36210667.13751186,33.932714617169374,guarded_exit,,22.0,12.0,,,33.932714617169374,,,,,0.03,,1.0,,,
Guarded max 1x exit-3% 2d confirm,0.9626317804440452,0.32265292821745145,2.9547497056824286,-0.3034290793549369,3.1725099733041877,873055.9722676243,342,364362.99407917913,37.55800464037123,guarded_exit,,22.0,12.0,,,37.55800464037123,,,,,0.03,,2.0,,,
Guarded max 1x exit-3% 3d confirm,0.899829506257197,0.317629986245133,2.8603281513586074,-0.2670443271874688,3.369588546344609,563309.7555001883,328,223478.18864971088,39.849187935034806,guarded_exit,,22.0,12.0,,,39.849187935034806,,,,,0.03,,3.0,,,
Guarded max 1x exit-5% 1d confirm,1.827130147246026,0.35372168453519565,3.8290616822227093,-0.2467134551854526,7.405879609900426,119289112.70608458,378,36210667.13751186,33.932714617169374,guarded_exit,,22.0,12.0,,,33.932714617169374,,,,,0.05,,1.0,,,
Guarded max 1x exit-5% 2d confirm,0.9626317804440452,0.32265292821745145,2.9547497056824286,-0.3034290793549369,3.1725099733041877,873055.9722676243,342,364362.99407917913,37.55800464037123,guarded_exit,,22.0,12.0,,,37.55800464037123,,,,,0.05,,2.0,,,
Guarded max 1x exit-5% 3d confirm,0.899829506257197,0.317629986245133,2.8603281513586074,-0.2670443271874688,3.369588546344609,563309.7555001883,328,223478.18864971088,39.849187935034806,guarded_exit,,22.0,12.0,,,39.849187935034806,,,,,0.05,,3.0,,,
