start_date,peak_date,trough_date,recovery_date,depth,calendar_days_to_recovery,trading_days_to_recovery
2024-09-27,2024-09-26,2024-09-27,2024-09-30,-0.0012532169669905446,3.0,1
2024-10-01,2024-09-30,2024-10-07,2024-10-09,-0.011547118478160368,8.0,6
2024-10-10,2024-10-09,2024-10-10,2024-10-11,-0.002070122839989974,1.0,1
2024-10-15,2024-10-14,2024-10-15,2024-10-18,-0.007609466332438197,3.0,3
2024-10-21,2024-10-18,2024-10-31,2024-11-06,-0.027148966384044293,16.0,12
2024-11-12,2024-11-11,2024-11-15,2024-11-26,-0.02178342845217529,14.0,10
2024-11-27,2024-11-26,2024-11-27,2024-11-29,-0.003801238017440034,2.0,1
2024-12-05,2024-12-04,2024-12-05,2024-12-06,-0.0018697756269248078,1.0,1
2024-12-09,2024-12-06,2025-01-10,2025-01-23,-0.043221397347668056,45.0,29
2025-01-24,2025-01-23,2025-02-03,2025-02-18,-0.020288612715960386,25.0,16
2025-02-20,2025-02-19,2025-04-08,2025-06-27,-0.1890220618428401,127.0,88
2025-07-01,2025-06-30,2025-07-01,2025-07-02,-0.001118531087121899,1.0,1
2025-07-07,2025-07-03,2025-07-08,2025-07-10,-0.008572555644746127,3.0,3
2025-07-11,2025-07-10,2025-07-15,2025-07-17,-0.005843552150760267,6.0,4
2025-07-18,2025-07-17,2025-07-18,2025-07-21,-9.048620868445933e-05,3.0,1
2025-07-29,2025-07-28,2025-08-01,2025-08-12,-0.023750503295482117,14.0,10
2025-08-15,2025-08-14,2025-08-21,2025-08-27,-0.015207468237571131,12.0,8
2025-08-29,2025-08-28,2025-09-02,2025-09-04,-0.01327617420766547,6.0,3
2025-09-05,2025-09-04,2025-09-05,2025-09-09,-0.003165152978388819,4.0,2
2025-09-12,2025-09-11,2025-09-12,2025-09-15,-0.00048276131466740146,3.0,1
2025-09-16,2025-09-15,2025-09-17,2025-09-18,-0.002256848989743432,2.0,2
2025-09-23,2025-09-22,2025-09-25,2025-10-01,-0.01330043475723619,8.0,6
2025-10-07,2025-10-06,2025-10-07,2025-10-08,-0.0038114057910215715,1.0,1
2025-10-09,2025-10-08,2025-10-10,2025-10-24,-0.02979253549421801,15.0,11
2025-10-29,2025-10-28,2025-11-20,2025-12-11,-0.05110085404168474,43.0,30
2025-12-12,2025-12-11,2025-12-17,2025-12-23,-0.026020841069229084,11.0,7
2025-12-26,2025-12-24,2025-12-31,2026-01-06,-0.012485456268501505,11.0,6
2026-01-07,2026-01-06,2026-01-07,2026-01-09,-0.003439923431013958,2.0,2
2026-01-13,2026-01-12,2026-01-20,2026-01-27,-0.025856840246254453,14.0,9
2026-01-28,2026-01-27,2026-03-30,2026-04-15,-0.09097524918009314,77.0,53
2026-04-20,2026-04-17,2026-04-21,2026-04-22,-0.008707517542448917,2.0,2
2026-04-23,2026-04-22,2026-04-23,2026-04-24,-0.004132868267081369,1.0,1
2026-04-28,2026-04-27,2026-04-29,2026-04-30,-0.005291390623902492,2.0,2
