Strategy,Variant,Leverage,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Trades_Per_Year,Total_Trades,Pct_Cash_Time,Avg_Leverage,Direction,SMA,UpBand,LoBand,Stop,Trail,Bmode,N,Param,Class
B-decay conv SMA50 e3% N10 d2% SL2.0% 1x,B-decay,1,5.592474145642123,6.9753930797360475,0.21500398311820726,0.16241468970918943,0.19705475586136684,-28.38030536840519,6413.9183769288575,13.584434063573882,1039,67.28160889674167,1.0,conv,50,0.03,0.03,0.02,0.0,decay,10,0.02,Neither
B-decay conv SMA50 e3% N10 d2% SL2.0% 2x,B-decay,2,5.141006261600922,13.889766616993771,0.2322990539563674,0.1753414561723258,0.07802644768130722,-65.88799585749373,4621.660811926467,13.584434063573882,1039,67.28160889674167,2.0,conv,50,0.03,0.03,0.02,0.0,decay,10,0.02,Neither
B-decay conv SMA50 e3% N10 d2% SL2.0% 3x,B-decay,3,4.0900175738770805,20.86369637300655,0.22348772086701044,0.16864527276915486,0.04494470339361025,-91.0011028008821,2143.345302600888,13.584434063573882,1039,67.28160889674167,3.0,conv,50,0.03,0.03,0.02,0.0,decay,10,0.02,Neither
B-decay conv SMA50 e3% N20 d1% 1x,B-decay,1,4.9788152450162215,6.330833963256969,0.28009530149317113,0.19292160203896014,0.1302613006514623,-38.221752892963536,4106.937102336036,23.233435352233677,1777,72.8992360858494,1.0,conv,50,0.03,0.03,0.0,0.0,decay,20,0.01,Neither
B-decay conv SMA50 e3% N20 d1% 2x,B-decay,2,4.098907600764812,12.602915511971311,0.3073806086669689,0.21185496482352242,0.05824402114458643,-70.37473581347655,2157.3915649865044,23.233435352233677,1777,72.8992360858494,2.0,conv,50,0.03,0.03,0.0,0.0,decay,20,0.01,Neither
B-decay conv SMA50 e3% N20 d1% 3x,B-decay,3,2.6223486384266526,18.927156288345866,0.29417759557303613,0.20254534021284465,0.02818983152261703,-93.02462969041555,723.4383327234631,23.233435352233677,1777,72.8992360858494,3.0,conv,50,0.03,0.03,0.0,0.0,decay,20,0.01,Neither
B-decay conv SMA50 e3% N20 d1% SL1.0% 1x,B-decay,1,4.9788152450162215,6.330833963256969,0.28009530149317113,0.19292160203896014,0.1302613006514623,-38.221752892963536,4106.937102336036,23.233435352233677,1777,72.8992360858494,1.0,conv,50,0.03,0.03,0.01,0.0,decay,20,0.01,Neither
B-decay conv SMA50 e3% N20 d1% SL1.0% 2x,B-decay,2,4.098907600764812,12.602915511971311,0.3073806086669689,0.21185496482352242,0.05824402114458643,-70.37473581347655,2157.3915649865044,23.233435352233677,1777,72.8992360858494,2.0,conv,50,0.03,0.03,0.01,0.0,decay,20,0.01,Neither
B-decay conv SMA50 e3% N20 d1% SL1.0% 3x,B-decay,3,2.6223486384266526,18.927156288345866,0.29417759557303613,0.20254534021284465,0.02818983152261703,-93.02462969041555,723.4383327234631,23.233435352233677,1777,72.8992360858494,3.0,conv,50,0.03,0.03,0.01,0.0,decay,20,0.01,Neither
B-decay conv SMA50 e3% N20 d1% SL2.0% 1x,B-decay,1,4.9788152450162215,6.330833963256969,0.28009530149317113,0.19292160203896014,0.1302613006514623,-38.221752892963536,4106.937102336036,23.233435352233677,1777,72.8992360858494,1.0,conv,50,0.03,0.03,0.02,0.0,decay,20,0.01,Neither
