strategy,sell_buffer_x,sell_label,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_days_cash,pct_cash_sessions,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,buffer_exits,pct_days_1x
Guarded max 1x (X=0.115),0.115,cross below SMA20+11.50%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.116),0.116,cross below SMA20+11.60%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.117),0.117,cross below SMA20+11.70%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.118),0.118,cross below SMA20+11.80%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.119),0.119,cross below SMA20+11.90%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.12),0.12,cross below SMA20+12.00%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.121),0.121,cross below SMA20+12.10%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.122),0.122,cross below SMA20+12.20%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.123),0.123,cross below SMA20+12.30%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.124),0.124,cross below SMA20+12.40%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.125),0.125,cross below SMA20+12.50%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.126),0.126,cross below SMA20+12.60%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.127),0.127,cross below SMA20+12.70%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.128),0.128,cross below SMA20+12.80%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.129),0.129,cross below SMA20+12.90%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.13),0.13,cross below SMA20+13.00%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.131),0.131,cross below SMA20+13.10%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.132),0.132,cross below SMA20+13.20%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.133),0.133,cross below SMA20+13.30%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.134),0.134,cross below SMA20+13.40%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.135),0.135,cross below SMA20+13.50%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.136),0.136,cross below SMA20+13.60%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
Guarded max 1x (X=0.137),0.137,cross below SMA20+13.70%,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,99.70683536491282
Guarded max 1x (X=0.138),0.138,cross below SMA20+13.80%,0.14177481983985052,0.17755719357121488,0.6999232816252442,-0.4158084547671292,0.3409618496556319,3011.448552223037,2,1.994238437938141,0.29316463508717794,0.2931646350871779,10,2,814,1964,0,99.70683536491282
