strategy,sell_buffer_x,sell_label,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_days_cash,pct_cash_sessions,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,buffer_exits,pct_days_1x,delta_cagr_pp,delta_sharpe,delta_max_dd_pp,delta_end_$,beats_baseline
Guarded max 1x (X=-0.023),-0.023,cross below SMA20-2.30%,0.18287961125715535,0.14856519190620274,1.9211413739825542,-0.20484298280457336,0.8927794779849904,7488.863496403601,327,5402.933417881892,21.49359666718099,21.49359666718099,10,2,814,1964,116,78.506403332819,-0.28239364646609477,-1.2546947976973115,1.1402800648363187,-474.3782146824451,False
Guarded max 1x (X=0.01),0.01,cross below SMA20+1.00%,0.1793473227169411,0.15621381404167103,1.8764506970962131,-0.41159281269358783,0.4357396854022741,6933.639880730658,348,6009.875194898287,15.707452553618268,15.70745255361827,10,2,814,1964,359,84.29254744638173,-0.6356225004875204,-1.2993854745836526,-19.53470292406513,-1029.6018303553883,False
Guarded max 1x (X=-0.024),-0.024,cross below SMA20-2.40%,0.17776348774325257,0.14989261529772588,1.8237781798764783,-0.20468608564643126,0.8684688418455371,6697.7368944045065,307,4546.273991178708,20.32093812683228,20.320938126832278,10,2,814,1964,110,79.67906187316773,-0.7940059978563729,-1.3520579918033875,1.1559697806505287,-1265.5048166815395,False
Guarded max 1x (X=0.011),0.011,cross below SMA20+1.10%,0.17985587424875926,0.1573020498890666,1.7944230631078293,-0.40059854836028375,0.4489678631760878,7011.064944637813,320,5482.252014563875,14.550223730905723,14.550223730905724,10,2,814,1964,365,85.44977626909429,-0.5847673473057036,-1.3814131085720365,-18.43527649073472,-952.1767664482331,False
Guarded max 1x (X=-0.025),-0.025,cross below SMA20-2.50%,0.177824088328437,0.15122167832110725,1.7437495792492579,-0.223172452730751,0.7968012456401817,6706.619298832086,281,4465.693995947694,19.101990433575068,19.101990433575065,10,2,814,1964,104,80.89800956642493,-0.7879459393379307,-1.4320865924306079,-0.6926669277814462,-1256.6224122539597,False
Guarded max 1x (X=0.012),0.012,cross below SMA20+1.20%,0.18174860613588062,0.15779752253893403,1.7437019963086697,-0.40064929148782563,0.4536351617169984,7306.593480035319,298,5322.3308346783415,13.670729825644191,13.670729825644191,10,2,814,1964,356,86.32927017435581,-0.39549415859356785,-1.432134175371196,-18.440350803488908,-656.6482310507272,False
Guarded max 1x (X=-0.026),-0.026,cross below SMA20-2.60%,0.17509269535998961,0.15220860443471929,1.6719155757617472,-0.2232735915042074,0.7842069193243132,6317.307607224518,263,4093.884855782782,18.315074834130534,18.315074834130534,10,2,814,1964,98,81.68492516586946,-1.0610852361826684,-1.5039205959181186,-0.7027808051270845,-1645.9341038615285,False
Guarded max 1x (X=0.013),0.013,cross below SMA20+1.30%,0.17945178443726584,0.16015107763615438,1.6239177088627612,-0.3830659145830446,0.4684618954745518,6949.476412510409,262,4666.051249939624,12.297484956025304,12.297484956025304,10,2,814,1964,346,87.7025150439747,-0.625176328455046,-1.5519184628171045,-16.682013113010807,-1013.7652985756367,False
Guarded max 1x (X=-0.027),-0.027,cross below SMA20-2.70%,0.1725498241649115,0.15332873738830066,1.600847356768635,-0.24053267387772767,0.7173654264227962,5974.459843396638,245,3629.5722415015084,17.466440364141338,17.466440364141338,10,2,814,1964,92,82.53355963585867,-1.3153723556904806,-1.5749888149112308,-2.4286890424791125,-1988.7818676894085,False
Guarded max 1x (X=-0.028),-0.028,cross below SMA20-2.80%,0.17478374354299286,0.15391207735899914,1.557962747960012,-0.24530559012871486,0.7125143110325439,6274.6648851763675,225,3289.724473338464,16.802962505786144,16.802962505786144,10,2,814,1964,87,83.19703749421386,-1.0919804178823433,-1.6178734237198538,-2.9059806675778317,-1688.5768259096785,False
