strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,family,pct_cash,sma_window,leverage,entry_buffer,exit_buffer,confirm_days,tier_margin_2x,tier_margin_3x
SMA30 1x/cash in+2%/out-2%,0.1295594524643544,0.11257347673828638,1.4758340537566912,-0.1887331208278998,0.6864690834127406,3825.5222772514094,178,1728.4086431110202,,35.47959724430313,64.52040275569686,0.0,0.0,,,,buffer,35.47959724430313,30.0,1.0,0.02,0.02,1.0,,
SMA30 2x/cash in+0%/out-0.5%,0.28225200165951647,0.222565467920378,2.685097643071138,-0.19282933886166798,1.4637399232177972,171551.03511839287,496,146677.01630005508,,32.869634340222575,0.0,67.13036565977742,0.0,,,,buffer,32.869634340222575,30.0,2.0,0.0,0.005,1.0,,
SMA30 2x/cash in+0%/out-1%,0.2839427961763441,0.228084525715117,2.353524951171856,-0.23620221111869272,1.2021174350212223,178467.71770848733,404,114236.28834579671,,30.339162692103866,0.0,69.66083730789613,0.0,,,,buffer,30.33916269210387,30.0,2.0,0.0,0.01,1.0,,
SMA30 2x/cash in+0%/out-2%,0.2620243068184367,0.241557893267959,1.7449187012932257,-0.3079578475282742,0.8508447143707865,106475.99801821733,258,47398.87705460257,,24.761526232114466,0.0,75.23847376788552,0.0,,,,buffer,24.761526232114466,30.0,2.0,0.0,0.02,1.0,,
SMA30 2x/cash in+0.5%/out-0%,0.24293175995029248,0.20924136380227318,2.8103957084243096,-0.24173024514127286,1.0049704777667248,67400.9292503608,536,76000.78199154993,,38.81822999470058,0.0,61.18177000529942,0.0,,,,buffer,38.81822999470058,30.0,2.0,0.005,0.0,1.0,,
SMA30 2x/cash in+0.5%/out-0.5%,0.2564084658140684,0.21588768353523957,2.381581299225248,-0.21528290469048564,1.1910303151228352,93143.74771261725,410,71918.10620585477,,35.532591414944356,0.0,64.46740858505564,0.0,,,,buffer,35.532591414944356,30.0,2.0,0.005,0.005,1.0,,
SMA30 2x/cash in+0.5%/out-1%,0.2490619571545316,0.2214408638247418,2.111013686768192,-0.25103250736594956,0.9921502189812201,78119.2349884645,350,48039.356388838154,,32.829888712241655,0.0,67.17011128775835,0.0,,,,buffer,32.829888712241655,30.0,2.0,0.005,0.01,1.0,,
SMA30 2x/cash in+0.5%/out-2%,0.24003332724559878,0.2358670905905759,1.6153819928953437,-0.3923411634271597,0.611797460018906,62842.31978780045,230,24809.10674954363,,26.934287228404873,0.0,73.06571277159513,0.0,,,,buffer,26.934287228404877,30.0,2.0,0.005,0.02,1.0,,
SMA30 2x/cash in+1%/out-0%,0.23587267408474277,0.20323772800788148,2.4666052674116257,-0.2998370724780308,0.7866694806461108,56815.83238493641,420,43359.23332385678,,42.2760996290408,0.0,57.72390037095919,0.0,,,,buffer,42.27609962904081,30.0,2.0,0.01,0.0,1.0,,
SMA30 2x/cash in+1%/out-0.5%,0.2358244956200597,0.20977792598976022,2.1084101330564917,-0.31699050702207004,0.7439481321869387,56749.432861102585,332,37239.200809389644,,39.0169581346052,0.0,60.9830418653948,0.0,,,,buffer,39.01695813460519,30.0,2.0,0.01,0.005,1.0,,
SMA30 2x/cash in+1%/out-1%,0.2321998574150188,0.2157686400917423,1.9140699686589915,-0.24110870359047085,0.9630504994519653,51963.382526821784,292,27904.48878427456,,36.00953895071542,0.0,63.990461049284576,0.0,,,,buffer,36.009538950715424,30.0,2.0,0.01,0.01,1.0,,
SMA30 2x/cash in+1%/out-2%,0.2314718163144358,0.2313977726571643,1.5449358118955445,-0.27566330269256223,0.8396903543326851,51050.28252522956,206,19871.828662514665,,28.921568627450984,0.0,71.07843137254902,0.0,,,,buffer,28.92156862745098,30.0,2.0,0.01,0.02,1.0,,
SMA30 2x/cash in+2%/out-0%,0.17071702353043605,0.18860119798718442,1.8772162875280745,-0.2661089933216667,0.6415304548692087,11192.11293031429,292,10029.785395870053,,52.75569687334393,0.0,47.24430312665607,0.0,,,,buffer,52.75569687334393,30.0,2.0,0.02,0.0,1.0,,
