label,A_pct,B_pct,X_pct,Y_pct,trigger_a,trigger_b,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,ulcer_index,max_dd_duration_days,rebalances,tier2_entries,tier3_entries,lead_only_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x
A12/B30,12.0,30.0,40.0,15.0,0.12,0.3,0.4,0.15,0.8025111604876598,0.4129320156675876,3.1221931510727288,-0.355105041167564,2.259926127348267,4649652051.318468,0.09350761245733007,216.0,838,10,2,559,32.42777630532733,16.512059369202227,20.500927643784784,30.559236681685658
A12/B35,12.0,35.0,40.0,15.0,0.12,0.35,0.4,0.15,0.787897141934166,0.40660432072936104,3.0974468594372864,-0.3551050411675637,2.2187720550054943,3642674817.0526037,0.09260246099327822,216.0,824,10,1,559,32.414524251258946,15.90246488205672,23.9067055393586,27.776305327325733
A12/B40,12.0,40.0,40.0,15.0,0.12,0.4,0.4,0.15,0.7856873862741538,0.4040844878256173,3.118123905312904,-0.35510504116756464,2.212549232449248,3510079748.0111356,0.09262580071355592,216.0,831,10,1,559,32.228995494301614,15.067585475748741,26.239067055393583,26.464351974556056
A12/B45,12.0,45.0,40.0,15.0,0.12,0.45,0.4,0.15,0.7856873862741538,0.4040844878256173,3.118123905312904,-0.35510504116756464,2.212549232449248,3510079748.0111356,0.09262580071355592,216.0,831,10,1,559,32.228995494301614,15.067585475748741,26.239067055393583,26.464351974556056
A15/B20,15.0,20.0,40.0,15.0,0.15,0.2,0.4,0.15,0.7623769750380358,0.4122627752187321,3.0196258182854616,-0.3551050411675637,2.1469055255633287,2367118066.3881106,0.09244165305200172,216.0,835,5,3,559,33.64696527961834,26.636628677445007,5.6983832494036575,34.018022793533
A15/B25,15.0,25.0,40.0,15.0,0.15,0.25,0.4,0.15,0.7722262714696857,0.4121921976473058,3.068211962864618,-0.3551050411675645,2.174641815646016,2797613064.249944,0.09332019842438787,216.0,840,7,3,559,32.67956533262656,20.699708454810494,14.537503313013517,32.083222899549426
A15/B30,15.0,30.0,40.0,15.0,0.15,0.3,0.4,0.15,0.7633766168390528,0.40620527673315865,3.088792151955776,-0.3551050411675643,2.1497205850108907,2407706564.5372777,0.09304111177367563,216.0,839,7,2,559,32.639809170421415,19.387755102040817,17.413199045852107,30.559236681685658
A15/B35,15.0,35.0,40.0,15.0,0.15,0.35,0.4,0.15,0.7354796745547003,0.39783225160288066,3.0400293235494407,-0.35510504116756425,2.071160894073728,1492658397.229532,0.0918535593497482,216.0,828,6,1,559,33.09037900874635,21.971905645375035,17.161410018552875,27.776305327325733
A15/B40,15.0,40.0,40.0,15.0,0.15,0.4,0.4,0.15,0.7473096775164074,0.39698703928521106,3.0768651900843103,-0.35510504116756464,2.1044749887506438,1829862431.906663,0.09212057825890102,216.0,829,7,1,559,32.54704479194275,18.30108666843361,22.687516565067586,26.464351974556056
A15/B45,15.0,45.0,40.0,15.0,0.15,0.45,0.4,0.15,0.7473096775164074,0.39698703928521106,3.0768651900843103,-0.35510504116756464,2.1044749887506438,1829862431.906663,0.09212057825890102,216.0,829,7,1,559,32.54704479194275,18.30108666843361,22.687516565067586,26.464351974556056
